ITEM,CH001,CH002,CH003,CH004,CH005,CH006,CH007,CH008,CH009,CH010,CH011,CH012,CH013,CH014,CH015,CH016,CH017,CH018,CH019,CH020,CH021,CH022,CH023,CH024,CH025,CH026,CH027,CH028,CH029,CH030,CH031,CH032,CH033,CH034,CH035,CH036,CH037,CH038,CH039,CH040,CH041,CH042,CH043,CH044,CH045,LC051,LC052,LC053,LC054,LC055,LC056,LC057,LC058,LC059,LC060,LC061,LC062,LC063,LC064,LC065,LC066,LC067,LC068,LC069,LC070,LC071,LC072,LC073,LC074,LC075,LC076,LC077,LC078,LC079,LC080,LC081,LC082,LC083,LC084,LC085,LC086,LC087,LC088,LC089,LC090,CN091,CN092,CN093,CN094,CN095,CN096,CN097,CN098,CN099,CN100,CN101,CN102,CN103,CN104,CN105,CN106,CN107,CN108,CN109,CN110,CN111,CN112,CN113,CN114,CN115,CN116,CN117,CN118,CN119,CN120,CN121,CN122,CN123,CN124,CN125,CN126,CN127,CN128,CN129,CN130,CN131,CN132,CN133,CN134,CN135,MT136,MT137,MT138,MT139,MT140,MT141,MT142,MT143,MT144,MT145,MT146,MT147,MT148,MT149,MT150,MT151,MT152,MT153,MT154,MT155,MT156,MT157,MT158,MT159,MT160,MT161,MT162,MT163,MT164,MT165,MT166,MT167,MT168,MT169,MT170,MT171,MT172,MT173,MT174,MT175,MT176,MT177,MT178,MT179,MT180
GABARITO,C,A,B,C,C,B,D,B,E,D,D,D,E,D,D,E,A,B,C,C,A,E,B,A,B,B,A,D,D,C,E,A,D,D,E,A,D,B,A,C,C,C,B,B,C,B,A,D,D,A,E,A,B,E,B,C,A,B,B,E,E,E,A,C,E,C,E,C,E,B,C,C,D,A,C,A,D,E,B,A,C,D,B,D,D,D,D,B,E,E,A,C,D,D,C,B,B,A,A,C,D,A,B,C,D,C,E,E,A,B,B,B,C,D,B,E,E,A,A,E,C,A,B,E,D,C,C,B,C,B,C,C,D,A,D,E,B,C,C,B,C,C,B,B,B,D,E,B,E,D,D,E,D,A,B,D,A,E,C,D,B,D,A,C,C,A,A,C,E,D,A,E,C,A,B
01512736,C,A,C,C,C,A,D,B,E,A,D,D,E,D,D,E,A,B,C,C,A,E,C,A,B,B,D,D,D,D,B,B,D,D,E,A,B,B,E,C,C,C,B,B,C,B,A,D,D,A,E,A,B,E,B,C,A,B,B,E,C,E,A,C,E,C,E,C,E,B,C,C,B,A,D,A,D,E,B,A,C,D,B,D,D,D,D,B,E,E,A,C,D,A,C,B,B,C,A,B,D,C,B,C,D,C,E,E,A,B,B,B,C,D,B,E,E,C,A,E,B,A,B,E,C,D,B,B,C,B,C,C,D,A,C,E,B,C,C,B,C,C,B,B,B,D,E,C,E,D,D,B,D,C,B,D,B,E,C,D,D,C,A,B,C,A,A,D,E,D,A,E,D,A,B
01512660,C,A,B,C,C,E,D,B,C,D,D,D,E,D,D,E,A,B,A,C,A,E,B,A,B,B,E,D,D,C,B,A,D,D,E,A,D,B,A,C,C,C,B,B,C,B,A,D,D,C,E,A,B,E,B,E,A,B,B,E,D,E,A,C,E,C,E,C,E,B,C,C,B,A,C,A,D,E,B,A,C,D,B,D,D,D,D,D,B,E,A,C,E,A,C,B,B,C,A,B,D,D,B,C,D,C,E,E,A,B,B,B,C,D,B,E,E,A,A,E,D,A,B,E,B,C,C,B,C,B,C,C,D,A,D,E,B,C,C,D,C,C,B,B,A,B,D,B,E,E,D,E,E,E,A,D,B,B,C,C,C,A,A,C,C,E,E,E,E,C,A,A,B,B,B
01613136,C,A,B,C,C,A,D,B,D,D,A,D,E,D,E,E,A,B,C,C,C,D,C,A,B,B,E,D,D,A,D,B,D,D,E,A,C,B,E,D,C,C,B,B,C,B,A,D,D,C,E,A,B,E,B,C,A,B,B,E,C,E,A,C,E,C,B,C,E,B,C,C,B,A,C,A,D,E,B,A,C,D,B,D,D,D,D,B,B,E,A,C,D,D,A,A,A,C,A,A,D,C,B,C,D,C,E,E,A,B,B,B,C,D,D,B,E,C,A,E,C,A,B,E,A,C,C,D,C,B,C,C,D,A,C,E,B,C,A,B,C,C,B,B,B,E,B,B,E,E,D,B,D,D,B,D,A,E,C,D,B,A,A,A,C,A,A,D,E,D,A,E,A,A,B
01602350,C,A,B,C,C,B,D,B,E,D,D,D,E,D,D,E,A,A,C,C,A,E,B,A,B,E,D,D,D,C,D,C,B,D,E,A,A,B,D,C,C,C,B,B,C,B,A,D,D,B,E,A,B,E,B,C,A,B,B,E,D,E,A,C,E,C,E,C,E,A,C,C,D,A,C,A,D,E,B,E,C,D,B,D,D,D,D,D,E,E,A,C,D,D,C,A,B,C,A,A,D,D,D,C,D,C,E,E,A,B,B,B,C,D,B,D,E,A,C,E,D,A,B,E,A,C,C,B,C,B,B,C,D,A,C,B,B,B,A,B,C,C,A,B,B,D,C,B,E,D,D,A,D,E,D,D,B,C,C,D,B,D,A,C,B,A,A,B,E,D,A,E,E,A,B
01613424,C,A,B,C,C,E,B,C,D,D,D,D,E,D,D,E,A,B,C,C,A,E,B,A,B,E,D,D,D,C,E,C,D,D,E,A,D,B,A,C,C,C,B,B,C,B,C,D,D,B,E,C,B,E,B,E,A,B,B,E,E,E,A,C,E,C,E,C,E,A,B,C,C,A,C,A,D,E,B,E,C,D,B,D,D,D,D,D,B,E,A,C,D,A,C,B,B,C,A,B,D,A,B,C,D,C,E,A,A,B,B,B,A,D,B,A,E,A,A,E,D,A,B,E,I,C,C,B,C,B,C,C,D,A,C,E,B,A,C,B,B,C,B,B,B,C,D,D,E,D,D,B,D,A,B,E,A,E,C,D,E,D,A,A,B,A,A,B,E,D,A,E,E,A,D
01717877,C,A,B,C,C,E,D,B,A,D,D,D,E,D,B,D,E,B,C,C,A,E,B,A,B,E,A,D,D,C,B,A,D,A,E,A,D,B,A,C,C,C,B,B,C,B,C,D,D,C,E,A,B,E,B,E,A,B,B,E,A,E,A,C,E,C,E,C,E,B,C,C,D,A,C,A,D,B,B,E,C,D,B,D,D,D,D,D,E,E,A,C,D,A,C,B,E,A,A,E,D,B,B,C,D,C,E,E,B,B,B,B,C,D,B,E,E,A,A,E,E,A,B,E,D,C,C,D,C,B,C,C,D,A,D,E,B,E,C,E,C,D,B,B,C,D,E,B,E,E,C,E,D,A,B,D,A,D,A,D,D,B,A,D,C,A,A,A,B,D,A,E,B,A,B
01717793,C,A,B,C,C,A,D,B,E,A,D,D,E,C,E,E,A,B,C,C,A,E,B,A,C,E,A,D,D,E,E,A,D,A,E,A,D,B,A,D,C,C,B,B,C,B,A,D,D,A,E,A,B,E,B,C,B,B,B,E,D,E,A,C,E,C,E,C,E,A,E,C,A,A,C,A,D,E,B,A,C,D,B,D,D,D,D,D,E,E,A,C,C,D,A,B,B,C,A,A,D,E,C,C,D,C,E,D,A,B,B,B,C,D,E,D,E,A,A,E,C,A,B,E,A,C,D,B,C,B,C,C,D,A,C,E,B,C,D,B,C,C,B,B,B,A,E,A,E,D,D,C,D,C,B,D,B,E,C,D,A,B,A,B,C,D,A,C,E,D,A,E,C,A,B
01718398,C,A,B,C,C,A,D,B,B,D,A,D,E,D,D,E,A,B,C,C,A,D,C,A,A,B,A,D,D,C,D,A,D,D,E,A,D,B,D,C,C,C,B,B,C,B,A,D,D,C,E,B,B,E,B,C,A,B,B,E,A,E,A,C,E,C,E,C,E,B,B,C,D,A,C,A,D,E,B,A,C,D,B,D,D,D,D,B,E,E,E,C,C,D,C,A,B,C,A,A,B,E,B,C,D,C,E,D,A,B,E,B,C,D,B,E,E,A,A,E,C,A,B,E,D,C,A,B,C,B,A,E,D,B,A,D,B,B,A,B,C,C,D,B,C,D,B,A,E,D,B,D,D,B,B,D,A,E,B,D,D,B,A,B,E,D,A,C,E,D,A,E,E,A,B
01501879,C,A,B,C,C,D,D,B,D,D,D,A,E,D,C,E,A,B,C,D,A,A,C,A,C,E,A,D,D,B,C,E,D,D,E,A,E,B,D,C,C,C,B,B,C,B,A,D,D,C,E,A,B,E,B,E,A,B,B,E,D,E,A,C,E,D,A,C,B,B,A,C,D,A,C,A,D,E,B,E,C,D,B,D,D,D,D,E,E,E,A,C,D,C,C,B,D,D,A,C,D,C,B,C,D,C,E,E,A,B,B,E,C,D,B,E,E,A,A,E,C,A,B,E,D,C,C,D,C,B,A,C,A,B,C,E,B,C,C,B,C,C,B,B,A,D,E,B,E,D,B,C,D,A,B,D,D,A,C,D,B,E,A,D,C,A,A,C,E,D,B,E,E,A,B
